codigo,nombre,nombre_oficial,alfa3
686,SENEGAL,Senegal,SEN
688,SERBIA,Serbia,SRB
690,REPUBLICA DE SEYCHELLES,República de Seychelles,SYC
694,SIERRA LEONA,Sierra Leona,SLE
702,SINGAPUR,Singapur,SGP
703,REPUBLICA DE ESLOVAQUIA,República de Eslovaquia,SVK
704,REPUBLICA SOCIALISTA DE VIETNAM,República Socialista de Vietnam,VNM
705,ESLOVENIA,Eslovenia,SVN
706,SOMALIA,Somalia,SOM
710,REPUBLICA DE SUDAFRICA,República de Sudáfrica,ZAF
716,ZIMBABWE,Zimbabwe,ZWE
724,ESPAÑA,España,ESP
732,SAHARA OESTE,Sahara Oeste,ESH
736,SUDAN,Sudan,SDN
740,SURINAM,Surinam,SUR
744,ISLAS SVALBARD Y JAN MAYEN,Islas Svalbard y Jan Mayen,SJM
748,REINO DE SWAZILANDIA,Reino de Swazilandia,SWZ
752,SUECIA,Suecia,SWE
756,SUIZA,Suiza,CHE
760,REPUBLICA ARABE DE SYRIAN,República Arabe de Syrian,SYR
762,REPUBLICA DE TAJIKISTAN,República de Tajikistan,TJK
764,THAILANDA,Thailanda,THA
768,TOGO,Togo,TGO
772,TOKELAU,Tokelau,TKL
776,TONGA,Tonga,TON
780,TRINIDAD Y TOBAGO,Trinidad y Tobago,TTO
784,EMIRATOS ARABES UNIDOS,Emiratos Árabes Unidos,ARE
788,REPUBLICA DE TUNISIA,República de Tunisia,TUN
792,TURQUIA,Turquía,TUR
795,TURKMENISTAN,Turkmenistán,TKM
796,ISLAS TURCOS Y CAICOS,Islas Turcos y Caicos,TCA
798,TUVALU,Tuvalu,TUV
800,UGANDA,Uganda,UGA
804,UCRANIA,Ucrania,UKR
807,MACEDONIA DEL NORTE,República de Macedonia (antigua Yugoesla,MKD
818,EGIPTO REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL,Egipto Reino Unido de Gran Bretaña e Irlanda del,EGY
826,REINO UNIDO,Reino Unido de Gran Bretaña e Irlanda del Norte,
830,ISLAS CHANNEL,Islas Channel,
831,GUERNSEY,Guernsey,GGY
832,JERSEY,Jersey,JEY
833,ISLA DE MAN,Isla de Man,IMN
834,TANZANIA,República Unida de Tanzania,TZA
840,ESTADOS UNIDOS,Estados Unidos de América,USA
850,ISLAS VIRGENES DE ESTADOS UNIDOS,Islas Vírgenes de Estados Unidos,VIR
854,BURKINA FASO,Burkina Faso,BFA
858,URUGUAY,Uruguay,URY
860,UZBEKISTAN,Uzbekistán,UZB
862,VENEZUELA,República Bolivariana de Venezuela,VEN
876,ISLAS WALLIS Y FUTUNA,Islas Wallis y Futuna,WLF
882,SAMOA,Samoa,WSM
887,YEMEN,Yemen,YEM
894,ZAMBIA,Zambia,ZMB
898,ZONAS FRANCAS DE ARGENTINA,Zonas Francas de Argentina,
899,ZONAS FRANCAS DE BRASIL,Zonas Francas de Brasil,
902,AREAS ADUANERAS ESPECIALES ARGENTINAS,Áreas Aduaneras Especiales Argentinas,
903,ZONAS FRANCAS DEL RESTO DEL MUNDO,Zonas Francas del Resto del Mundo,
980,ZONAS FRANCAS DE URUGUAY,Zonas Francas de Uruguay,
988,ZONA FRANCA LIBERTAD,Zona Franca Libertad,
989,ZONA FRANCA RIO NEGRO,Zona Franca Río Negro,
990,ZONA FRANCA NUEVA HELVECIA,Zona Franca Nueva Helvecia,
991,ZONA FRANCA COLONIA,Zona Franca Colonia,
992,ZONA FRANCA DURAZNO,Zona Franca Durazno,
993,ZONA FRANCA MONTEVIDEO (ZONAMERICA),Zona Franca Montevideo (Zonamerica),
994,ZONA FRANCA FLORIDA,Zona Franca Florida,
995,ZONA FRANCA SAN JOSE,Zona Franca San José,
996,ZONA FRANCA RIVERA,Zona Franca Rivera,
997,ZONA FRANCA NUEVA PALMIRA,Zona Franca Nueva Palmira,
2761,ALEMANIA,Alemania (cód. 2011),DEU
2762,ALEMANIA,Alemania (cód. 2011),DEU
2763,ALEMANIA,Alemania (cód. 2011),DEU
7241,ESPAÑA,España (cód. 2011),ESP
7242,ESPAÑA,España (cód. 2011),ESP
8261,REINO UNIDO,Reino Unido de Gran Bretaña e Irlanda del Norte (cód. 2011),
8262,REINO UNIDO,Reino Unido de Gran Bretaña e Irlanda del Norte (cód. 2011),
8263,REINO UNIDO,Reino Unido de Gran Bretaña e Irlanda del Norte (cód. 2011),
8264,REINO UNIDO,Reino Unido de Gran Bretaña e Irlanda del Norte (cód. 2011),
